Observer1,Observer2,Kidney_Side,Mean_Absolute_Error,Root_Mean_Squared_Error,R_squared,Pearson_Correlation,Mean_Difference,Median_Difference,Mean_Percentage_Difference,Std_Difference,Number_of_Cases
AIRA,SREENADH,Right,1.9880000000000038,3.557704315988052,0.9753218795671473,0.9905170368365761,-0.3360000000000028,-0.22500000000000853,1.5458006060092826,3.5418023660277846,10
AIRA,SREENADH,Left,4.5770000000000035,9.229665757761763,0.8950707217964389,0.9646518819382341,-4.508999999999998,-0.365000000000002,5.505771378600866,8.053300503520283,10
